nprocs, input, strategy, result, average_time, max_time
1,1000000,Strategy 1,1000000.000000,0.004896,0.004896
2,1000000,Strategy 1,1000000.000000,0.002152,0.002153
4,1000000,Strategy 1,1000000.000000,0.001693,0.003525
8,1000000,Strategy 1,1000000.000000,0.000975,0.003963
1,1000000,Strategy 2,1000000.000000,0.004870,0.004870
2,1000000,Strategy 2,1000000.000000,0.002152,0.002153
4,1000000,Strategy 2,1000000.000000,0.002311,0.003541
8,1000000,Strategy 2,1000000.000000,0.001166,0.003014
1,1000000,Strategy 3,1000000.000000,0.004896,0.004896
2,1000000,Strategy 3,1000000.000000,0.002167,0.002170
4,1000000,Strategy 3,1000000.000000,0.002346,0.003590
8,1000000,Strategy 3,1000000.000000,0.001189,0.002993
