nprocs, input, strategy, result, average_time, max_time, speed_up, efficiency,speed_up,efficiency,total_overhead
1,10000000,Strategy 1,10000000.000000,0.042712,0.042712,1.0,1.0,0.0
2,10000000,Strategy 1,10000000.000000,0.021397,0.021399,1.9959811206131126,0.9979905603065563,8.600000000000274e-05
4,10000000,Strategy 1,10000000.000000,0.016088,0.021740,1.9646734130634775,0.4911683532658694,0.044247999999999996
8,10000000,Strategy 1,10000000.000000,0.010269,0.013948,3.0622311442500716,0.38277889303125895,0.068872
1,10000000,Strategy 2,10000000.000000,0.042718,0.042718,0.9998595439861417,0.9998595439861417,5.999999999999062e-06
2,10000000,Strategy 2,10000000.000000,0.021397,0.021412,1.9947692882495796,0.9973846441247898,0.00011200000000000099
4,10000000,Strategy 2,10000000.000000,0.010736,0.010765,3.9676730143985135,0.9919182535996284,0.0003480000000000011
8,10000000,Strategy 2,10000000.000000,0.006036,0.006696,6.37873357228196,0.797341696535245,0.010855999999999998
1,10000000,Strategy 3,10000000.000000,0.042703,0.042703,1.0002107580263682,1.0002107580263682,-9.000000000002062e-06
2,10000000,Strategy 3,10000000.000000,0.021438,0.021440,1.9921641791044775,0.9960820895522388,0.00016800000000000148
4,10000000,Strategy 3,10000000.000000,0.011440,0.012128,3.521767810026385,0.8804419525065963,0.0058
8,10000000,Strategy 3,10000000.000000,0.008256,0.009247,4.619011571320428,0.5773764464150535,0.031264
