nprocs, input, strategy, result, average_time, max_time, speed_up, efficiency, total_overhead
1,10000,Strategy 1,10000.000000,0.000048,0.000048,1.0,1.0,0.0
2,10000,Strategy 1,10000.000000,0.000036,0.000038,1.263157894736842,0.631578947368421,2.8000000000000003e-05
4,10000,Strategy 1,10000.000000,0.000710,0.002767,0.01734730755330683,0.0043368268883267076,0.01102
8,10000,Strategy 1,10000.000000,0.000271,0.002027,0.023680315737543166,0.0029600394671928957,0.016168000000000002
1,10000,Strategy 2,10000.000000,0.000048,0.000048,1.0,1.0,0.0
2,10000,Strategy 2,10000.000000,0.000039,0.000042,1.142857142857143,0.5714285714285715,3.5999999999999994e-05
4,10000,Strategy 2,10000.000000,0.001373,0.002725,0.01761467889908257,0.004403669724770643,0.010852
8,10000,Strategy 2,10000.000000,0.000520,0.002021,0.023750618505690255,0.002968827313211282,0.01612
1,10000,Strategy 3,10000.000000,0.000048,0.000048,1.0,1.0,0.0
2,10000,Strategy 3,10000.000000,0.000041,0.000043,1.1162790697674418,0.5581395348837209,3.8e-05
4,10000,Strategy 3,10000.000000,0.001399,0.002753,0.017435524881946968,0.004358881220486742,0.010964
8,10000,Strategy 3,10000.000000,0.001348,0.002044,0.023483365949119376,0.002935420743639922,0.016304
