nprocs, input, strategy, result, average_time, max_time, speed_up, efficiency, total_overhead
1,100000,Strategy 1,100000.000000,0.000469,0.000469,1.0,1.0,0.0
2,100000,Strategy 1,100000.000000,0.000226,0.000227,2.0660792951541853,1.0330396475770927,-1.500000000000004e-05
4,100000,Strategy 1,100000.000000,0.000769,0.002716,0.17268041237113402,0.043170103092783504,0.010395
8,100000,Strategy 1,100000.000000,0.000364,0.002434,0.19268693508627774,0.024085866885784717,0.019003
1,100000,Strategy 2,100000.000000,0.000472,0.000472,0.9936440677966103,0.9936440677966103,2.9999999999999645e-06
2,100000,Strategy 2,100000.000000,0.000227,0.000228,2.057017543859649,1.0285087719298245,-1.299999999999999e-05
4,100000,Strategy 2,100000.000000,0.001470,0.002820,0.16631205673758867,0.04157801418439717,0.010811
8,100000,Strategy 2,100000.000000,0.000667,0.002463,0.19041818920016243,0.023802273650020304,0.019235
1,100000,Strategy 3,100000.000000,0.000466,0.000466,1.0064377682403434,1.0064377682403434,-3.0000000000000187e-06
2,100000,Strategy 3,100000.000000,0.000233,0.000235,1.995744680851064,0.997872340425532,9.9999999999997e-07
4,100000,Strategy 3,100000.000000,0.001455,0.002770,0.1693140794223827,0.04232851985559567,0.010610999999999999
8,100000,Strategy 3,100000.000000,0.000706,0.002439,0.1922919229192292,0.02403649036490365,0.019043
