nprocs, input, strategy, result, average_time, max_time
1,10000000,Strategy 1,10000000.000000,0.042729,0.042729
2,20000000,Strategy 1,20000000.000000,0.042848,0.042926
4,40000000,Strategy 1,40000000.000000,0.048231,0.053678
8,80000000,Strategy 1,80000000.000000,0.052107,0.058186
1,10000000,Strategy 2,10000000.000000,0.042608,0.042608
2,20000000,Strategy 2,20000000.000000,0.042768,0.042773
4,40000000,Strategy 2,40000000.000000,0.043139,0.044232
8,80000000,Strategy 2,80000000.000000,0.043389,0.045253
1,10000000,Strategy 3,10000000.000000,0.042614,0.042614
2,20000000,Strategy 3,20000000.000000,0.042934,0.042936
4,40000000,Strategy 3,40000000.000000,0.043505,0.044006
8,80000000,Strategy 3,80000000.000000,0.044341,0.045197
