nprocs, input, strategy, result, average_time, max_time, speed_up, efficiency
1,100000,Strategy 1,100000.000000,0.000469,0.000469
2,100000,Strategy 1,100000.000000,0.000226,0.000227
4,100000,Strategy 1,100000.000000,0.000769,0.002716
8,100000,Strategy 1,100000.000000,0.000364,0.002434
1,100000,Strategy 2,100000.000000,0.000472,0.000472
2,100000,Strategy 2,100000.000000,0.000227,0.000228
4,100000,Strategy 2,100000.000000,0.001470,0.002820
8,100000,Strategy 2,100000.000000,0.000667,0.002463
1,100000,Strategy 3,100000.000000,0.000466,0.000466
2,100000,Strategy 3,100000.000000,0.000233,0.000235
4,100000,Strategy 3,100000.000000,0.001455,0.002770
8,100000,Strategy 3,100000.000000,0.000706,0.002439
