nprocs,max_time,avg_time,speed_up,efficiency,total_overhead
1,31.0295331478,31.0295331478,1.0,1.0,0.0
4,7.6304569244,7.6290170550,4.066536703532983,1.0166341758832458,-0.5077054501999996
9,4.5269920826,4.1517559422,6.854337843237119,0.7615930936930133,9.713395595600002
