nprocs, input, strategy, result, average_time, max_time
1,100000,Strategy 1,100000.000000,0.000470,0.000470
2,200000,Strategy 1,200000.000000,0.000516,0.000519
4,400000,Strategy 1,400000.000000,0.005659,0.010833
8,800000,Strategy 1,800000.000000,0.010221,0.016590
1,100000,Strategy 2,100000.000000,0.000472,0.000472
2,200000,Strategy 2,200000.000000,0.000478,0.000511
4,400000,Strategy 2,400000.000000,0.000588,0.000670
8,800000,Strategy 2,800000.000000,0.000504,0.000547
1,100000,Strategy 3,100000.000000,0.000466,0.000466
2,200000,Strategy 3,200000.000000,0.000517,0.000518
4,400000,Strategy 3,400000.000000,0.001549,0.002561
8,800000,Strategy 3,800000.000000,0.000612,0.000668
