nprocs, input, strategy, result, average_time, max_time
1,1000000,Strategy 1,1000000.000000,0.004880,0.004880
2,2000000,Strategy 1,2000000.000000,0.004310,0.004314
4,4000000,Strategy 1,4000000.000000,0.007337,0.010650
8,8000000,Strategy 1,8000000.000000,0.011120,0.015725
1,1000000,Strategy 2,1000000.000000,0.004605,0.004605
2,2000000,Strategy 2,2000000.000000,0.004628,0.004948
4,4000000,Strategy 2,4000000.000000,0.004966,0.005619
8,8000000,Strategy 2,8000000.000000,0.004706,0.005144
1,1000000,Strategy 3,1000000.000000,0.004922,0.004922
2,2000000,Strategy 3,2000000.000000,0.004959,0.004962
4,4000000,Strategy 3,4000000.000000,0.005775,0.007233
8,8000000,Strategy 3,8000000.000000,0.006266,0.007324
