nprocs, input, strategy, result, average_time, max_time
1,1000000000,Strategy 1,1000000000.000000,4.170629,4.170629
2,2000000000,Strategy 1,2000000000.000000,4.172276,4.172280
4,4000000000,Strategy 1,4000000000.000000,4.172724,4.178720
8,8000000000,Strategy 1,8000000000.000000,4.177873,4.183275
1,1000000000,Strategy 2,1000000000.000000,4.168691,4.168691
2,2000000000,Strategy 2,2000000000.000000,4.167091,4.167139
4,4000000000,Strategy 2,4000000000.000000,4.170054,4.170240
8,8000000000,Strategy 2,8000000000.000000,4.169776,4.174678
1,1000000000,Strategy 3,1000000000.000000,4.168046,4.168046
2,2000000000,Strategy 3,2000000000.000000,4.165598,4.165599
4,4000000000,Strategy 3,4000000000.000000,4.172844,4.172899
8,8000000000,Strategy 3,8000000000.000000,4.170584,4.170966
